id,name,address,area,state,direction_url,scraped_at,opening_time,closing_time
outlet_90,ZUS Coffee – Suasana PjH Presint 2,"Unit A-G-R10 & A-G-R11, Block A, Suasana PjH, Jalan Tun Abdul Razak, Presint 2, 62100 Putrajaya",Putrajaya,,https://maps.app.goo.gl/KuSAsowCiPCM3ZaY7,2025-07-07 01:47:31,06:30,19:00
outlet_91,ZUS Coffee – Plaza Low yat,"Plaza Low Yat, Lot LG-04 & 05, Lower Ground Floor, 7, Jalan Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur,https://maps.app.goo.gl/hP7wXLwkdTDEP9Jk8,2025-07-07 01:47:31,07:00,23:00
outlet_92,"ZUS Coffee – Selera Putra, Souq Putrajaya","Lot G-005, Selera Putra, Souq Putrajaya, Presint 1, 62000 Putrajaya",Putrajaya,,https://maps.app.goo.gl/u8mwJJX78gsH9Cd66,2025-07-07 01:47:31,08:00,22:30
outlet_93,ZUS Coffee – Plaza Shah Alam,"S19, Second Floor, Jalan Tengku Ampuan Zabedah E 9/E, Seksyen 9, 40100 Shah Alam, Selangor",Shah Alam,Selangor,https://maps.app.goo.gl/jmCaSVSHEAZX1uCPA,2025-07-07 01:47:31,09:00,20:00
outlet_94,"ZUS Coffee – Vista Bangi, Jalan Reko","1-06 (Ground Floor) Vista Bangi, Jalan Reko, 43000 Kajang, Selangor.",Kajang,Selangor,https://maps.app.goo.gl/cjtSfXE8JLt3kB6K6,2025-07-07 01:47:31,10:00,21:30
outlet_95,ZUS Coffee – Kipmall Bangi,"1K-03A, Level 1, No. 1 Jalan Medan Bangi Business Park Bangi Golf Resort) Off, Persiaran Kemajuan, Seksyen 6, 43650 Bandar Baru Bangi, Selangor",Bandar Baru Bangi,Selangor,https://maps.app.goo.gl/uR1tJeAs3S9T1Hgy5,2025-07-07 01:47:31,10:00,22:30
outlet_96,ZUS Coffee – Universiti Malaya Centre for Continuing Education,"VIP Dining, Cyberview 23, Jalan Teknokrat 3, Cyber 4, 63000 Cyberjaya, Selangor",Cyberjaya,Selangor,https://maps.app.goo.gl/r9fWQegqWYNN5YGh9,2025-07-07 01:47:31,07:00,20:00
outlet_97,Ready-To Zus – Holiday Inn Express Hotel KL,"Lot G01, Ground Floor, 84, Jalan Raja Chulan, Kuala Lumpur, 50200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur,https://maps.app.goo.gl/tTGVQUum8VZxHCiDA,2025-07-07 01:47:47,07:30,22:00
outlet_98,ZUS Coffee – MSU Medical Centre,"Lot A01 (Ground Floor), MSU Medical Centre, University Drive, Off Persiaran Olahraga, Seksyen 13, 40100 Shah Alam, Selangor.",Shah Alam,Selangor,https://maps.app.goo.gl/jqLkNUJLJTSDrwiv5,2025-07-07 01:47:47,08:30,21:30
outlet_99,ZUS Coffee – Bandar Teknologi Kajang,"No. G-8 (Ground Floor), Jalan 1/2, HILLPARK RESIDENCE, Seksyen 1 Bandar Teknologi Kajang, 43500 Semenyih, Selangor",Semenyih,Selangor,https://maps.app.goo.gl/9cNsY6ftsn1d5rgx9,2025-07-07 01:47:47,08:00,19:00
outlet_100,ZUS Coffee – Menara VSQ Petaling Jaya,"B03, Ground Floor, VSQ@PJ City Centre, Jalan Utara, 46200 Petaling Jaya, Selangor",Petaling Jaya,Selangor,https://maps.app.goo.gl/PAvN2P4C7TSVRLiH9,2025-07-07 01:47:47,08:30,23:00
outlet_101,ZUS Coffee – Damansara Damai,"L-013 (Ground Floor), Vista Shop, Jalan PJU 10/2A, Damansara Damai,47830 Petaling Jaya, Selangor",Petaling Jaya,Selangor,https://maps.app.goo.gl/x3vfoWpBpRLG9K327,2025-07-07 01:47:47,07:30,18:00
outlet_102,ZUS Coffee – AEON Mall Cheras Selatan,"KF3 & KF5, First Floor, Aeon Mall Cheras, Selatan, Jalan Cheras Perdana Cheras, 43200, Balakong, Selangor",Balakong,Selangor,https://maps.app.goo.gl/UrdwdN3cYSCCSuqB7,2025-07-07 01:47:47,07:30,23:00
outlet_103,"ZUS Coffee – Setia Prima, Setia Alam","8-1-2 (Ground Floor), Jalan Setia Prima P U13/P, Setia Alam, 40170 Shah Alam, Selangor",Shah Alam,Selangor,https://maps.app.goo.gl/1i1djZnUqsuTjtip7,2025-07-07 01:47:47,08:30,19:00
outlet_104,ZUS Coffee – The Glenz @Glenmarie,"G-3B (Ground Floor), Subplace Boulevard Pusat Kormersil Vestland, No.6, Jalan Juruanalisis U1/35, Seksyen U1, 40150 Shah Alam, Selangor Darul Ehsan",Shah Alam,Selangor Darul Ehsan,https://maps.app.goo.gl/qyNRDn9vdyN7ebpa9,2025-07-07 01:47:47,06:30,23:00
outlet_105,ZUS Coffee – Puchong Utama,"A-G-9 (Ground Floor), Block A, Dataran Puchong, Jalan PU 7/1, Taman Puchong Utama, 47140 Puchong, Selangor",Puchong,Selangor,https://maps.app.goo.gl/JFR4PpoU3195PJiQ7,2025-07-07 01:47:47,10:00,22:30
outlet_106,ZUS Coffee – Sunway Pyramid,"Lot LG2.37, Level LG2, Sunway Pyramid, 3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor",Petaling Jaya,Selangor,https://maps.app.goo.gl/gEZekwMHNSMr48rM8,2025-07-07 01:47:47,10:00,21:30
outlet_107,ZUS Coffee – Setapak Central Mall,"GK-08, Ground Floor, 67, Jln Taman Ibu Kota, Taman Danau Kota, 53300 Kuala Lumpur, Wilayah Persekutuan",Kuala Lumpur,Wilayah Persekutuan,https://maps.app.goo.gl/Bm11m4TsgbU4vHuN7,2025-07-07 01:47:47,07:00,23:00
outlet_108,ZUS Coffee – The Exchange TRX,"Lot C.98.0, The Exchange TRX, Persiaran TRX, Tun Razak Exchange, 55188 Kuala Lumpur, Wilayah Persekutuan",Kuala Lumpur,Wilayah Persekutuan,https://maps.app.goo.gl/dF2G1ifX7ZNim34X9,2025-07-07 01:47:47,06:30,18:00
outlet_109,ZUS Coffee – Taman Sri Manja,"No.25, Jalan PJS 3/46, Taman Sri Manja, 46000 Petaling Jaya",Petaling Jaya,Selangor,https://maps.app.goo.gl/NC5h4Ka5GpkNqZXv7,2025-07-07 01:48:01,08:00,20:00
outlet_110,ZUS Coffee – Eco Grandeur,"No 18-G (Ground Floor), Jalan Eco Grandeur 1/9A, Eco Granduer, 42300, Bandar Puncak Alam, Selangor",Bandar Puncak Alam,Selangor,https://maps.app.goo.gl/Ri16uBrxZcHrzipp6,2025-07-07 01:48:01,08:30,21:00
outlet_111,ZUS Coffee – Jaya Shopping Centre,"Lot G-01, Jaya Shopping Centre, Jalan 14/17, Seksyen 14, 46100 Petaling Jaya, Selangor",Petaling Jaya,Selangor,https://maps.app.goo.gl/PPdekSrAX9qRBJPaA,2025-07-07 01:48:01,06:00,19:00
outlet_112,ZUS Coffee – Eco Majestic Semenyih,"Lot 47-1, Jalan Eco Majestic 10/1A, 43500 Semenyih, Selangor.",Semenyih,Selangor,https://maps.app.goo.gl/5do85BzjhSHZQqGd8,2025-07-07 01:48:01,10:00,22:30
outlet_113,"ZUS Coffee – Gateway@KLIA2 (Departure Hall, Level 3)","Lot L3-44A, Level 3, gateway@KLIA2, Lbh KLIA, 43900 KLIA, Selangor",KLIA,Selangor,https://maps.app.goo.gl/zokxx7yUmHcStc978,2025-07-07 01:48:01,07:00,21:30
outlet_114,"ZUS Coffee – Gateway@KLIA2 (Arrival Hall, Level 2)","Lot No. L2-90B, Level 2, gateway@KLIA2, Lbh KLIA, 43900 Klia, Selangor",Klia,Selangor,https://maps.app.goo.gl/ix7SbeVWTn9Ya3JS7,2025-07-07 01:48:01,10:00,22:30
outlet_115,ZUS Coffee – Taipan USJ,"No. 9 (Ground Floor), Jalan USJ 10/1E, Taipan Business Centre, 47620, Subang Jaya, Selangor",Subang Jaya,Selangor,https://maps.app.goo.gl/ypaC1vcYetCYs3aV8,2025-07-07 01:48:01,07:00,23:00
outlet_116,ZUS Coffee – Sunway Velocity Mall,"Lot 1-22, First Floor, Lingkaran SV2, Sunway Velocity Mall, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur,https://maps.app.goo.gl/tSr4cVgTudc9g7RKA,2025-07-07 01:48:01,08:00,20:00
